Code_commune_INSEE;Nom_commune;Code_postal;Prefix_codpos;Libelle_acheminement;Libelle_acheminement_len;Ligne_5;coordonnees_gps
8329;NOVION PORCIEN;8270;82;NOVION PORCIEN;14;;49.6013662608, 4.45102282302
8333;OLIZY PRIMAT;8250;82;OLIZY PRIMAT;12;;49.3052152829, 4.87924744188
8340;POILCOURT SYDNEY;8190;81;POILCOURT SYDNEY;16;;49.4739708484, 4.1206932066
8360;RENNEVILLE;8220;82;RENNEVILLE;10;;49.6447010155, 4.20764091673
8364;RILLY SUR AISNE;8130;81;RILLY SUR AISNE;15;;49.4948997956, 4.58771124171
8366;ROCQUIGNY;8220;82;ROCQUIGNY;9;;49.6447010155, 4.20764091673
8366;ROCQUIGNY;8220;82;ROCQUIGNY;9;MAINBRESSON;49.6447010155, 4.20764091673
8368;ROIZY;8190;81;ROIZY;5;;49.4739708484, 4.1206932066
8370;ROUVROY SUR AUDRY;8150;81;ROUVROY SUR AUDRY;17;;49.8122244724, 4.52545242673
8403;SAULT LES RETHEL;8300;83;SAULT LES RETHEL;16;;49.4890710736, 4.33770775217
8404;SAULT ST REMY;8190;81;SAULT ST REMY;13;;49.4739708484, 4.1206932066
64149;BUGNEIN;64190;64;BUGNEIN;7;;43.3303304572, -0.787383810475
64152;BUROS;64160;64;BUROS;5;;43.3830432565, -0.231977829206
64167;CARRERE;64160;64;CARRERE;7;;43.3830432565, -0.231977829206
64190;CLARACQ;64330;64;CLARACQ;7;;43.5418563695, -0.226283256585
64191;COARRAZE;64800;64;COARRAZE;8;;43.1416716993, -0.242876303099
64193;CORBERE ABERES;64350;64;CORBERE ABERES;14;;43.4696224051, -0.1198178684
64207;ESCOU;64870;64;ESCOU;5;;43.1859088919, -0.54370425822
64208;ESCOUBES;64160;64;ESCOUBES;8;;43.3830432565, -0.231977829206
64210;ESCURES;64350;64;ESCURES;7;;43.4696224051, -0.1198178684
64238;GER;64530;64;GER;3;;43.2249813189, -0.0930410318434
64240;GERE BELESTEN;64260;64;GERE BELESTEN;13;;43.0837174382, -0.405880242828
64245;GOES;64400;64;GOES;4;;43.1918951985, -0.642051267053
64250;GUICHE;64520;64;GUICHE;6;;43.4828017234, -1.16861389886
64255;HALSOU;64480;64;HALSOU;6;;43.3959215702, -1.45000012935
64261;HERRERE;64680;64;HERRERE;7;;43.154142648, -0.506746806096
64267;IBARROLLE;64120;64;IBARROLLE;9;;43.3050617762, -1.05477457972
64279;ITXASSOU;64250;64;ITXASSOU;8;;43.3249246789, -1.42953644285
64315;LAROIN;64110;64;LAROIN;6;;43.2679285123, -0.398459859363
64316;LARRAU;64560;64;LARRAU;6;;43.0084914097, -0.920619929244
64324;LASSEUBE;64290;64;LASSEUBE;8;;43.2158139133, -0.441474336827
64329;LEE;64320;64;LEE;3;;43.2929999605, -0.293556943502
64358;LUCGARIER;64420;64;LUCGARIER;9;;43.2727772692, -0.18517685756
64375;MEHARIN;64120;64;MEHARIN;7;;43.3050617762, -1.05477457972
64386;MIREPEIX;64800;64;MIREPEIX;8;;43.1416716993, -0.242876303099
64387;MOMAS;64230;64;MOMAS;5;;43.3794240738, -0.449952549175
64390;MONCAUP;64350;64;MONCAUP;7;;43.4696224051, -0.1198178684
64396;MONT;64300;64;MONT;4;GOUZE;43.4859974267, -0.75266936644
64396;MONT;64300;64;MONT;4;LENDRESSE;43.4859974267, -0.75266936644
64397;MONTAGUT;64410;64;MONTAGUT;8;;43.5231887379, -0.442593033592
64412;NABAS;64190;64;NABAS;5;;43.3303304572, -0.787383810475
64413;NARCASTET;64510;64;NARCASTET;9;;43.245640797, -0.282424726752
64494;ST PE DE LEREN;64270;64;ST PE DE LEREN;14;;43.4771574964, -0.961010238203
64504;SARE;64310;64;SARE;4;;43.3310114321, -1.57798494011
64529;SUS;64190;64;SUS;3;;43.3303304572, -0.787383810475
64531;TABAILLE USQUAIN;64190;64;TABAILLE USQUAIN;16;;43.3303304572, -0.787383810475
64538;UHART CIZE;64220;64;UHART CIZE;10;;43.1182252068, -1.17987845599
64539;UHART MIXE;64120;64;UHART MIXE;10;;43.3050617762, -1.05477457972
64552;VIALER;64330;64;VIALER;6;;43.5418563695, -0.226283256585
65003;ADERVIELLE POUCHERGUES;65240;65;ADERVIELLE POUCHERGUES;22;POUCHERGUES;42.8315711949, 0.385912028349
65009;ANERES;65150;65;ANERES;6;;43.0398654561, 0.480304747102
65016;ANTIST;65200;65;ANTIST;6;;43.0346588013, 0.142823788541
65019;ARCIZAC ADOUR;65360;65;ARCIZAC ADOUR;13;;43.1625190004, 0.105391850437
65020;ARCIZAC EZ ANGLES;65100;65;ARCIZAC EZ ANGLES;17;;43.0733136747, -0.0281562446131
65024;ARGELES BAGNERES;65200;65;ARGELES BAGNERES;16;;43.0346588013, 0.142823788541
65034;ARRODETS;65130;65;ARRODETS;8;;43.0681030312, 0.291772301589
65054;AVEZAC PRAT LAHITTE;65130;65;AVEZAC PRAT LAHITTE;19;;43.0681030312, 0.291772301589
65055;AYROS ARBOUIX;65400;65;AYROS ARBOUIX;13;;42.9460232752, -0.163635149644
65080;BENAC;65380;65;BENAC;5;;43.1697077524, -0.022463739718
65084;BERNAC DESSUS;65360;65;BERNAC DESSUS;13;;43.1625190004, 0.105391850437
65099;BORDERES LOURON;65590;65;BORDERES LOURON;15;ILHAN;42.8710607597, 0.412551570718
63174;GRANDVAL;63890;63;GRANDVAL;8;;45.5726810009, 3.61894402093
63181;JOZERAND;63460;63;JOZERAND;8;;45.9934157614, 3.09875798916
63188;LAPS;63270;63;LAPS;4;;45.6408260002, 3.30100691361
63195;LEZOUX;63190;63;LEZOUX;6;;45.817780708, 3.399916409
63206;MANZAT;63410;63;MANZAT;6;;45.9529948229, 2.96821882159
63219;MAZAYE;63230;63;MAZAYE;6;;45.8467690491, 2.84450342305
63233;MONTAIGUT;63700;63;MONTAIGUT EN COMBRAILLE;23;;46.1865575466, 2.8334076893
63241;MONTPEYROUX;63114;63;MONTPEYROUX;11;;45.6254856472, 3.19813088283
63251;NEUF EGLISE;63560;63;NEUF EGLISE;11;;46.1157064497, 2.88410173513
63255;NONETTE ORSONNETTE;63340;63;NONETTE ORSONNETTE;18;;45.450400978, 3.19686495404
63268;PARDINES;63500;63;PARDINES;8;;45.5449375451, 3.24769750903
63269;PARENT;63270;63;PARENT;6;;45.6408260002, 3.30100691361
63273;PERIGNAT SUR ALLIER;63800;63;PERIGNAT SUR ALLIER;19;;45.7314255981, 3.21711000607
63279;PICHERANDE;63113;63;PICHERANDE;10;;45.469556778, 2.79218545423
63286;POUZOL;63440;63;POUZOL;6;;46.0656430258, 3.00641222387
63307;ROMAGNAT;63540;63;ROMAGNAT;8;SAULZET LE CHAUD;45.7208123303, 3.08837340823
65036;ARTALENS SOUIN;65400;65;ARTALENS SOUIN;14;;42.9460232752, -0.163635149644
65075;BAZUS AURE;65170;65;BAZUS AURE;10;;42.7844554266, 0.249236861187
65095;BONNEFONT;65220;65;BONNEFONT;9;;43.3060883041, 0.336975313607
64177;CASTETIS;64300;64;CASTETIS;8;;43.4859974267, -0.75266936644
64189;CIBOURE;64500;64;CIBOURE;7;;43.389108568, -1.63881898251
64214;ESPES UNDUREIN;64130;64;ESPES UNDUREIN;14;;43.2026932583, -0.893255791642
64226;FICHOUS RIUMAYOU;64410;64;FICHOUS RIUMAYOU;16;;43.5231887379, -0.442593033592
64230;GAN;64290;64;GAN;3;;43.2158139133, -0.441474336827
64249;GUETHARY;64210;64;GUETHARY;8;;43.4226559085, -1.56911488604
64260;HENDAYE;64700;64;HENDAYE;7;;43.3477852312, -1.71224103787
64270;IGON;64800;64;IGON;4;;43.1416716993, -0.242876303099
64276;ISSOR;64570;64;ISSOR;5;;43.0758381302, -0.725122462628
64286;LAA MONDRANS;64300;64;LAA MONDRANS;12;;43.4859974267, -0.75266936644
64289;LA BASTIDE CLAIRENCE;64240;64;LA BASTIDE CLAIRENCE;20;;43.3989779826, -1.29221963003
64290;LABASTIDE MONREJEAU;64170;64;LABASTIDE MONREJEAU;19;;43.409488442, -0.554817302956
64304;LAHONCE;64990;64;LAHONCE;7;;43.4632822407, -1.40781223333
64313;LANTABAT;64640;64;LANTABAT;8;;43.2945597226, -1.18265900805
64319;LARRIBAR SORHAPURU;64120;64;LARRIBAR SORHAPURU;18;;43.3050617762, -1.05477457972
64321;LASCLAVERIES;64450;64;LASCLAVERIES;12;;43.4588812635, -0.341362068764
64323;LASSERRE;64350;64;LASSERRE;8;;43.4696224051, -0.1198178684
64330;LEES ATHAS;64490;64;LEES ATHAS;10;;42.9480307677, -0.596909627017
64337;LESPIELLE;64350;64;LESPIELLE;9;;43.4696224051, -0.1198178684
64350;LOUHOSSOA;64250;64;LOUHOSSOA;9;;43.3249246789, -1.42953644285
64352;LOURENTIES;64420;64;LOURENTIES;10;;43.2727772692, -0.18517685756
64354;LOUVIE SOUBIRON;64440;64;LOUVIE SOUBIRON;15;;42.9183295476, -0.395850195838
64357;LUCARRE;64350;64;LUCARRE;7;;43.4696224051, -0.1198178684
64414;NARP;64190;64;NARP;4;;43.3303304572, -0.787383810475
64422;OLORON STE MARIE;64400;64;OLORON STE MARIE;16;;43.1918951985, -0.642051267053
64431;OS MARSILLON;64150;64;OS MARSILLON;12;;43.3738643161, -0.656609609505
64436;OSSES;64780;64;OSSES;5;;43.2518666668, -1.28852003798
64438;OUILLON;64160;64;OUILLON;7;;43.3830432565, -0.231977829206
64440;OZENX MONTESTRUCQ;64300;64;OZENX MONTESTRUCQ;17;MONTESTRUCQ;43.4859974267, -0.75266936644
64442;PARBAYSE;64360;64;PARBAYSE;8;;43.2985688459, -0.58610605773
64443;PARDIES;64150;64;PARDIES;7;;43.3738643161, -0.656609609505
57132;CHATEAU SALINS;57170;57;CHATEAU SALINS;14;COUTURES;48.8272646435, 6.51547813008
57156;COURCELLES SUR NIED;57530;57;COURCELLES SUR NIED;19;;49.0970109843, 6.37190964274
57166;DALHAIN;57340;57;DALHAIN;7;;48.9250105741, 6.6294141211
57169;DANNELBOURG;57820;57;DANNELBOURG;11;;48.7214419242, 7.22862669066
57181;DOMNOM LES DIEUZE;57260;57;DOMNOM LES DIEUZE;17;;48.8146613171, 6.75592004038
57190;ELVANGE;57690;57;ELVANGE;7;;49.0811066698, 6.54834376906
57198;ERSTROFF;57660;57;ERSTROFF;8;;49.009643522, 6.76938750743
57208;FARSCHVILLER;57450;57;FARSCHVILLER;12;;49.098477693, 6.86570683111
57212;FEY;57420;57;FEY;3;;48.9869755262, 6.21040794882
57217;FLETRANGE;57690;57;FLETRANGE;9;;49.0811066698, 6.54834376906
57230;FOULIGNY;57220;57;FOULIGNY;8;;49.1841986175, 6.49591706201
57247;GERBECOURT;57170;57;GERBECOURT;10;;48.8272646435, 6.51547813008
57249;GLATIGNY;57530;57;GLATIGNY;8;;49.0970109843, 6.37190964274
57251;GOIN;57420;57;GOIN;4;;48.9869755262, 6.21040794882
57253;GONDREXANGE;57815;57;GONDREXANGE;11;;48.6914422966, 6.9074246458
57254;GORZE;57680;57;GORZE;5;;49.0358691515, 6.02886300131
57255;GOSSELMING;57930;57;GOSSELMING;10;;48.8282440547, 6.97722303236
57264;GUEBENHOUSE;57510;57;GUEBENHOUSE;11;;49.0411738191, 6.9246664425
57270;VAL DE BRIDE;57260;57;VAL DE BRIDE;12;;48.8146613171, 6.75592004038
57274;GUERTING;57880;57;GUERTING;8;;49.1848577986, 6.63106406972
57277;GUINKIRCHEN;57220;57;GUINKIRCHEN;11;;49.1841986175, 6.49591706201
57280;GUNTZVILLER;57405;57;GUNTZVILLER;11;;48.7255604204, 7.15431817508
57281;HABOUDANGE;57340;57;HABOUDANGE;10;;48.9250105741, 6.6294141211
57283;HAGONDANGE;57300;57;HAGONDANGE;10;;49.2517615961, 6.19936397452
57287;BASSE HAM;57970;57;BASSE HAM;9;;49.3625168649, 6.2749100002
57292;HANNOCOURT;57590;57;HANNOCOURT;10;;48.8873716617, 6.40583396115
57293;HAN SUR NIED;57580;57;HAN SUR NIED;12;;48.9946275503, 6.4127259483
57298;HARREBERG;57870;57;HARREBERG;9;;48.6442661172, 7.16634369748
57301;HASPELSCHIEDT;57230;57;HASPELSCHIEDT;13;;49.0414116666, 7.50685872374
57304;HAUT CLOCHER;57400;57;HAUT CLOCHER;12;;48.7426088325, 7.03597274737
57310;HELLERING LES FENETRANGE;57930;57;HELLERING LES FENETRANGE;24;;48.8282440547, 6.97722303236
57316;HENRIVILLE;57450;57;HENRIVILLE;10;;49.098477693, 6.86570683111
57318;HERMELANGE;57790;57;HERMELANGE;10;;48.6494173756, 6.99547918255
57324;HILBESHEIM;57400;57;HILBESHEIM;10;;48.7426088325, 7.03597274737
57332;HOMBOURG HAUT;57470;57;HOMBOURG HAUT;13;;49.1215723758, 6.78184199605
57335;HONSKIRCH;57670;57;HONSKIRCH;9;;48.9138160053, 6.86340206578
57338;HOTTVILLER;57720;57;HOTTVILLER;10;;49.1232380903, 7.35851091729
57339;HULTEHOUSE;57820;57;HULTEHOUSE;10;;48.7214419242, 7.22862669066
57342;IBIGNY;57830;57;IBIGNY;6;;48.683859606, 6.93870692906
57345;INGLANGE;57970;57;INGLANGE;8;;49.3625168649, 6.2749100002
57350;JOUY AUX ARCHES;57130;57;JOUY AUX ARCHES;15;;49.0926058282, 6.02256649302
57366;KIRVILLER;57430;57;KIRVILLER;9;;48.9890917181, 6.98173780701
57368;KNUTANGE;57240;57;KNUTANGE;8;;49.3410176091, 6.04326749195
57372;KUNTZIG;57970;57;KUNTZIG;7;;49.3625168649, 6.2749100002
57381;LANEUVEVILLE EN SAULNOIS;57590;57;LANEUVEVILLE EN SAULNOIS;24;;48.8873716617, 6.40583396115
57391;LEMONCOURT;57590;57;LEMONCOURT;10;;48.8873716617, 6.40583396115
57395;LESSE;57580;57;LESSE;5;;48.9946275503, 6.4127259483
57415;LORRY LES METZ;57050;57;LORRY LES METZ;14;;49.1138494739, 6.17894504375
57419;LOUPERSHOUSE;57510;57;LOUPERSHOUSE;12;;49.0411738191, 6.9246664425
57422;LOUVIGNY;57420;57;LOUVIGNY;8;;48.9869755262, 6.21040794882
57425;LUPPY;57580;57;LUPPY;5;;48.9946275503, 6.4127259483
57442;MANY;57380;57;MANY;4;;49.0163431022, 6.59197776669
57448;MARSAL;57630;57;MARSAL;6;;48.7720464776, 6.58794854277
57456;MEISENTHAL;57960;57;MEISENTHAL;10;;48.965339221, 7.32931540364
57459;MERSCHWEILLER;57480;57;MERSCHWEILLER;13;;49.4172623157, 6.42263673314
57463;METZ;57050;57;METZ;4;;49.1138494739, 6.17894504375
57468;MITTELBRONN;57370;57;MITTELBRONN;11;;48.7889855572, 7.22238046846
57469;MITTERSHEIM;57930;57;MITTERSHEIM;11;;48.8282440547, 6.97722303236
57470;MOLRING;57670;57;MOLRING;7;;48.9138160053, 6.86340206578
57477;MONTBRONN;57415;57;MONTBRONN;9;;49.006798582, 7.31603337104
57482;MONTOY FLANVILLE;57645;57;MONTOY FLANVILLE;16;;49.1294879959, 6.29496207471
57486;MORVILLE SUR NIED;57590;57;MORVILLE SUR NIED;17;;48.8873716617, 6.40583396115
57487;MOULINS LES METZ;57160;57;MOULINS LES METZ;16;;49.1183395813, 6.08364219773
57488;MOUSSEY;57770;57;MOUSSEY;7;;48.672173952, 6.77879019308
57489;MOUTERHOUSE;57620;57;MOUTERHOUSE;11;;48.9917951549, 7.41577190853
57491;MOYEUVRE GRANDE;57250;57;MOYEUVRE GRANDE;15;;49.2628995839, 6.0314436388
57493;MULCEY;57260;57;MULCEY;6;;48.8146613171, 6.75592004038
57494;MUNSTER;57670;57;MUNSTER;7;;48.9138160053, 6.86340206578
62721;ROQUETOIRE;62120;62;ROQUETOIRE;10;;50.6358470101, 2.3677470535
62848;VERQUIN;62131;62;VERQUIN;7;;50.4979995318, 2.63240823084
62885;WESTREHEM;62960;62;WESTREHEM;9;;50.5540064964, 2.2740661156
62897;WISMES;62380;62;WISMES;6;;50.6840669393, 2.07902625888
63007;APCHAT;63420;63;APCHAT;6;;45.3815607414, 3.05063750475
63028;BAGNOLS;63810;63;BAGNOLS;7;;45.4876676748, 2.61850330437
63041;BIOLLET;63640;63;BIOLLET;7;;45.9806226406, 2.69554487333
63067;LA CELLETTE;63330;63;LA CELLETTE;11;;46.0971333548, 2.66280010852
63083;CHANAT LA MOUTEYRE;63530;63;CHANAT LA MOUTEYRE;18;;45.855002413, 3.02081571111
63085;CHAPDES BEAUFORT;63230;63;CHAPDES BEAUFORT;16;;45.8467690491, 2.84450342305
63087;LA CHAPELLE MARCOUSSE;63420;63;LA CHAPELLE MARCOUSSE;21;;45.3815607414, 3.05063750475
63090;CHAPTUZAT;63260;63;CHAPTUZAT;9;;46.0185019732, 3.21337186417
63096;CHAS;63160;63;CHAS;4;;45.7170649925, 3.36945150555
63097;CHASSAGNE;63320;63;CHASSAGNE;9;;45.5536207313, 3.08709444267
63104;LA CHAULME;63660;63;LA CHAULME;10;;45.5294414829, 3.9086743951
63111;CLEMENSAT;63320;63;CLEMENSAT;9;;45.5536207313, 3.08709444267
63113;CLERMONT FERRAND;63100;63;CLERMONT FERRAND;16;;45.7859081171, 3.1155334528
63167;GIMEAUX;63200;63;GIMEAUX;7;;45.9059997705, 3.12295819611
63186;LANDOGNE;63380;63;LANDOGNE;8;;45.8787287136, 2.62207258462
63257;OLBY;63210;63;OLBY;4;;45.7042185166, 2.84691568777
63260;OLMET;63880;63;OLMET;5;;45.7022203315, 3.68151290757
63270;PARENTIGNAT;63500;63;PARENTIGNAT;11;;45.5449375451, 3.24769750903
63302;LA ROCHE BLANCHE;63670;63;LA ROCHE BLANCHE;16;;45.7124444692, 3.15893935126
63330;ST CIRGUES SUR COUZE;63320;63;ST CIRGUES SUR COUZE;20;;45.5536207313, 3.08709444267
63334;ST DIER D AUVERGNE;63520;63;ST DIER D AUVERGNE;18;;45.6791396863, 3.48140635939
63346;ST GENES CHAMPESPE;63850;63;ST GENES CHAMPESPE;18;;45.4132189945, 2.81236528132
63357;ST HERENT;63340;63;ST HERENT;9;;45.450400978, 3.19686495404
63364;ST JEAN D HEURS;63190;63;ST JEAN D HEURS;15;;45.817780708, 3.399916409
63367;ST JEAN ST GERVAIS;63570;63;ST JEAN ST GERVAIS;18;;45.4492336759, 3.34157709163
63369;ST JULIEN LA GENESTE;63390;63;ST JULIEN LA GENESTE;20;;46.0373720502, 2.80705948896
63377;ST MAURICE PRES PIONSAT;63330;63;ST MAURICE PRES PIONSAT;23;;46.0971333548, 2.66280010852
63379;ST MYON;63460;63;ST MYON;7;;45.9934157614, 3.09875798916
11084;CAUX ET SAUZENS;11170;11;CAUX ET SAUZENS;15;;43.2815047945, 2.19442534937
11086;CAVES;11510;11;CAVES;5;;42.9150508033, 2.94104906509
11088;CAZILHAC;11570;11;CAZILHAC;8;;43.1506610986, 2.38289109862
11089;CENNE MONESTIES;11170;11;CENNE MONESTIES;15;;43.2815047945, 2.19442534937
11090;CEPIE;11300;11;CEPIE;5;;43.0486403902, 2.18021479284
11092;CITOU;11160;11;CITOU;5;;43.3459989767, 2.52081672381
11097;CONILHAC DE LA MONTAGNE;11190;11;CONILHAC DE LA MONTAGNE;23;;42.9166610889, 2.34707884311
11100;CORBIERES;11230;11;CORBIERES;9;;42.9737220665, 2.02689573941
10068;BUXEUIL;10110;10;BUXEUIL;7;;48.1160220302, 4.43093259336
10079;CHANNES;10340;10;CHANNES;7;;47.9929585912, 4.30782302551
10082;CHAPELLE VALLON;10700;10;CHAPELLE VALLON;15;;48.5834551294, 4.16090274297
10085;CHARMOY;10290;10;CHARMOY;7;;48.3522204669, 3.62637818754
10090;CHAUCHIGNY;10170;10;CHAUCHIGNY;10;;48.4916267047, 3.93350100384
10091;CHAUDREY;10240;10;CHAUDREY;8;;48.495152966, 4.31805671159
10101;COCLOIS;10240;10;COCLOIS;7;;48.495152966, 4.31805671159
10105;COURCELLES SUR VOIRE;10500;10;COURCELLES SUR VOIRE;20;;48.4013286019, 4.53410660747
10106;COURCEROY;10400;10;COURCEROY;9;;48.4799726716, 3.5156539842
10110;COURTERANGES;10270;10;COURTERANGES;12;;48.2596266125, 4.24959642717
10113;COUVIGNON;10200;10;COUVIGNON;9;;48.2425292795, 4.71148061919
10115;CRENEY PRES TROYES;10150;10;CRENEY PRES TROYES;18;;48.3962803897, 4.13703511392
10116;CRESANTIGNES;10320;10;CRESANTIGNES;12;;48.1632184055, 4.02059815423
10117;CRESPY LE NEUF;10500;10;CRESPY LE NEUF;14;;48.4013286019, 4.53410660747
10118;LES CROUTES;10130;10;LES CROUTES;11;;48.0520003827, 3.93246550297
10153;FONTAINE MACON;10400;10;FONTAINE MACON;14;;48.4799726716, 3.5156539842
10155;FONTETTE;10360;10;FONTETTE;8;;48.0604806131, 4.60332287539
10159;FRALIGNES;10110;10;FRALIGNES;9;;48.1160220302, 4.43093259336
10163;FULIGNY;10200;10;FULIGNY;7;;48.2425292795, 4.71148061919
10166;LES GRANDES CHAPELLES;10170;10;LES GRANDES CHAPELLES;21;;48.4916267047, 3.93350100384
10173;ISLE AUMONT;10800;10;ISLE AUMONT;11;;48.2055801821, 4.1125140322
10182;JUVANCOURT;10310;10;JUVANCOURT;10;;48.1567685845, 4.79470021531
10190;LAUBRESSEL;10270;10;LAUBRESSEL;10;;48.2596266125, 4.24959642717
10196;LIGNIERES;10130;10;LIGNIERES;9;;48.0520003827, 3.93246550297
10212;MACHY;10320;10;MACHY;5;;48.1632184055, 4.02059815423
10227;MAROLLES SOUS LIGNIERES;10130;10;MAROLLES SOUS LIGNIERES;23;;48.0520003827, 3.93246550297
10230;MERGEY;10600;10;MERGEY;6;;48.3767482025, 3.98875459714
10232;MERREY SUR ARCE;10110;10;MERREY SUR ARCE;15;;48.1160220302, 4.43093259336
10237;MESNIL ST LOUP;10190;10;MESNIL ST LOUP;14;;48.249510935, 3.83670117751
10255;MONTREUIL SUR BARSE;10270;10;MONTREUIL SUR BARSE;19;;48.2596266125, 4.24959642717
10264;NOE LES MALLETS;10360;10;NOE LES MALLETS;15;;48.0604806131, 4.60332287539
10265;LES NOES PRES TROYES;10420;10;LES NOES PRES TROYES;20;;48.303320135, 4.0410683197
10272;ORMES;10700;10;ORMES;5;;48.5834551294, 4.16090274297
10279;PARS LES CHAVANGES;10330;10;PARS LES CHAVANGES;18;;48.5139476266, 4.53465022681
10280;PARS LES ROMILLY;10100;10;PARS LES ROMILLY;16;;48.4790813047, 3.69122724058
10285;PERTHES LES BRIENNE;10500;10;PERTHES LES BRIENNE;19;;48.4013286019, 4.53410660747
10302;PRASLIN;10210;10;PRASLIN;7;;48.0240420903, 4.12388886656
10304;PRECY ST MARTIN;10500;10;PRECY ST MARTIN;15;;48.4013286019, 4.53410660747
10305;PREMIERFAIT;10170;10;PREMIERFAIT;11;;48.4916267047, 3.93350100384
10310;PUITS ET NUISEMENT;10140;10;PUITS ET NUISEMENT;18;;48.2443606803, 4.48006737892
10314;RAMERUPT;10240;10;RAMERUPT;8;ROMAINES;48.495152966, 4.31805671159
10321;LA RIVIERE DE CORPS;10440;10;LA RIVIERE DE CORPS;19;;48.277445493, 3.98700536658
10326;ROSNAY L HOPITAL;10500;10;ROSNAY L HOPITAL;16;;48.4013286019, 4.53410660747
10333;ST ANDRE LES VERGERS;10120;10;ST ANDRE LES VERGERS;20;;48.2420570868, 4.01115012406
10340;ST GERMAIN;10120;10;ST GERMAIN;10;;48.2420570868, 4.01115012406
10340;ST GERMAIN;10120;10;ST GERMAIN;10;CHEVILLELE;48.2420570868, 4.01115012406
10346;ST LEGER SOUS MARGERIE;10330;10;ST LEGER SOUS MARGERIE;22;;48.5139476266, 4.53465022681
10352;STE MAURE;10150;10;STE MAURE;9;;48.3962803897, 4.13703511392
10352;STE MAURE;10150;10;STE MAURE;9;CULOISON;48.3962803897, 4.13703511392
10354;ST NABORD SUR AUBE;10700;10;ST NABORD SUR AUBE;18;;48.5834551294, 4.16090274297
10356;ST OULPH;10170;10;ST OULPH;8;;48.4916267047, 3.93350100384
10357;ST PARRES AUX TERTRES;10410;10;ST PARRES AUX TERTRES;21;;48.2983334554, 4.15487406021
10363;ST THIBAULT;10800;10;ST THIBAULT;11;;48.2055801821, 4.1125140322
10365;SALON;10700;10;SALON;5;;48.5834551294, 4.16090274297
10370;SOLIGNY LES ETANGS;10400;10;SOLIGNY LES ETANGS;18;;48.4799726716, 3.5156539842
10373;SOULIGNY;10320;10;SOULIGNY;8;;48.1632184055, 4.02059815423
10378;THORS;10200;10;THORS;5;;48.2425292795, 4.71148061919
10386;TROUANS;10700;10;TROUANS;7;TROUAN LE GRAND;48.5834551294, 4.16090274297
10404;VERPILLIERES SUR OURCE;10360;10;VERPILLIERES SUR OURCE;22;;48.0604806131, 4.60332287539
10408;VIAPRES LE PETIT;10380;10;VIAPRES LE PETIT;16;;48.576907135, 3.98044859766
10411;LA VILLE AUX BOIS;10500;10;LA VILLE AUX BOIS;17;;48.4013286019, 4.53410660747
10420;VILLENAUXE LA GRANDE;10370;10;VILLENAUXE LA GRANDE;20;;48.5945073105, 3.54815302668
10424;VILLERET;10330;10;VILLERET;8;;48.5139476266, 4.53465022681
10426;VILLE SOUS LA FERTE;10310;10;VILLE SOUS LA FERTE;19;;48.1567685845, 4.79470021531
10428;VILLE SUR TERRE;10200;10;VILLE SUR TERRE;15;;48.2425292795, 4.71148061919
10429;VILLETTE SUR AUBE;10700;10;VILLETTE SUR AUBE;17;;48.5834551294, 4.16090274297
10432;VILLIERS SOUS PRASLIN;10210;10;VILLIERS SOUS PRASLIN;21;;48.0240420903, 4.12388886656
10433;VILLY EN TRODES;10140;10;VILLY EN TRODES;15;;48.2443606803, 4.48006737892
10437;VIREY SOUS BAR;10260;10;VIREY SOUS BAR;14;;48.139145765, 4.23898035934
10439;VIVIERS SUR ARTAUT;10110;10;VIVIERS SUR ARTAUT;18;;48.1160220302, 4.43093259336
10441;VOSNON;10130;10;VOSNON;6;;48.0520003827, 3.93246550297
11003;AJAC;11300;11;AJAC;4;;43.0486403902, 2.18021479284
11012;ARGELIERS;11120;11;ARGELIERS;9;;43.2793720392, 2.88392060651
11040;BIZANET;11200;11;BIZANET;7;;43.1662010238, 2.78892059953
11047;LE BOUSQUET;11140;11;LE BOUSQUET;11;;42.7657925357, 2.16672255446
11062;CAMPAGNA DE SAULT;11140;11;CAMPAGNA DE SAULT;17;;42.7657925357, 2.16672255446
11067;CANET;11200;11;CANET;5;;43.1662010238, 2.78892059953
11069;CARCASSONNE;11000;11;CARCASSONNE;11;GREZES HERMINIS;43.2094356992, 2.34683719247
11095;COMIGNE;11700;11;COMIGNE;7;;43.2164263433, 2.63518086038
11096;COMUS;11340;11;COMUS;5;;42.8370630944, 1.98179772961
16119;DIGNAC;16410;16;DIGNAC;6;;45.5802617631, 0.262465806188
16124;ECURAS;16220;16;ECURAS;6;;45.6792233734, 0.507971273327
16132;ETAGNAC;16150;16;ETAGNAC;7;;45.8762096643, 0.725825447
16135;EYMOUTHIERS;16220;16;EYMOUTHIERS;11;;45.6792233734, 0.507971273327
16136;LA FAYE;16700;16;LA FAYE;7;;46.0168761938, 0.246377896211
16138;FLEAC;16730;16;FLEAC;5;;45.6636626896, 0.0767104525338
16142;LA FORET DE TESSE;16240;16;LA FORET DE TESSE;17;;46.0204608634, 0.0623105228243
16143;FOUQUEBRUNE;16410;16;FOUQUEBRUNE;11;;45.5802617631, 0.262465806188
16144;FOUQUEURE;16140;16;FOUQUEURE;9;;45.909751558, 0.0012445152135
16148;GENAC BIGNAC;16170;16;GENAC BIGNAC;12;BIGNAC;45.7890325838, -0.0524231030464
16149;GENOUILLAC;16270;16;GENOUILLAC;10;;45.8834000837, 0.571194894473
